time,ticker,side,price,qty,status,filled,order_id,order_time,ready_at,fill_latency_s
2026-01-05 07:28:01.547591,KXHIGHNY-26JAN06-B41.5,no,70.0,1,executed,1,SIM_1,2026-01-05 07:28:01.547591,2026-01-05 07:28:01.547591,0.0
2026-01-05 07:28:01.547591,KXHIGHNY-26JAN06-B41.5,no,70.0,1,executed,1,SIM_2,2026-01-05 07:28:01.547591,2026-01-05 07:28:01.547591,0.0
2026-01-05 07:28:12.970430,KXHIGHNY-26JAN06-B41.5,no,70.0,1,executed,1,SIM_3,2026-01-05 07:28:12.970430,2026-01-05 07:28:12.970430,0.0
2026-01-05 07:28:12.970430,KXHIGHNY-26JAN06-B41.5,no,70.0,1,executed,1,SIM_4,2026-01-05 07:28:12.970430,2026-01-05 07:28:12.970430,0.0
2026-01-05 07:29:49.652971,KXHIGHNY-26JAN06-B41.5,no,69.0,1,executed,1,SIM_5,2026-01-05 07:29:49.652971,2026-01-05 07:29:49.652971,0.0
2026-01-05 07:29:49.652971,KXHIGHNY-26JAN06-B41.5,no,69.0,1,executed,1,SIM_6,2026-01-05 07:29:49.652971,2026-01-05 07:29:49.652971,0.0
2026-01-05 07:29:55.193389,KXHIGHNY-26JAN06-B41.5,no,69.0,1,executed,1,SIM_7,2026-01-05 07:29:55.193389,2026-01-05 07:29:55.193389,0.0
2026-01-05 07:29:55.193389,KXHIGHNY-26JAN06-B41.5,no,69.0,1,executed,1,SIM_8,2026-01-05 07:29:55.193389,2026-01-05 07:29:55.193389,0.0
2026-01-05 07:30:58.386451,KXHIGHNY-26JAN05-B37.5,yes,15.0,4,executed,4,SIM_9,2026-01-05 07:30:58.386451,2026-01-05 07:30:58.386451,0.0
2026-01-05 07:30:59.744292,KXHIGHNY-26JAN06-B41.5,no,69.0,1,executed,1,SIM_10,2026-01-05 07:30:59.744292,2026-01-05 07:30:59.744292,0.0
2026-01-05 07:30:59.744292,KXHIGHNY-26JAN06-B41.5,no,69.0,1,executed,1,SIM_11,2026-01-05 07:30:59.744292,2026-01-05 07:30:59.744292,0.0
2026-01-05 07:32:18.384217,KXHIGHNY-26JAN06-B41.5,no,67.0,1,executed,1,SIM_12,2026-01-05 07:32:18.384217,2026-01-05 07:32:18.384217,0.0
2026-01-05 07:32:18.384217,KXHIGHNY-26JAN06-B41.5,no,67.0,1,executed,1,SIM_13,2026-01-05 07:32:18.384217,2026-01-05 07:32:18.384217,0.0
2026-01-05 07:32:31.639804,KXHIGHNY-26JAN06-B41.5,no,67.0,1,executed,1,SIM_14,2026-01-05 07:32:31.639804,2026-01-05 07:32:31.639804,0.0
2026-01-05 07:32:31.639804,KXHIGHNY-26JAN06-B41.5,no,67.0,1,executed,1,SIM_15,2026-01-05 07:32:31.639804,2026-01-05 07:32:31.639804,0.0
2026-01-05 07:33:36.631268,KXHIGHNY-26JAN06-B41.5,no,64.0,1,executed,1,SIM_16,2026-01-05 07:33:36.631268,2026-01-05 07:33:36.631268,0.0
2026-01-05 07:33:36.631268,KXHIGHNY-26JAN06-B41.5,no,64.0,1,executed,1,SIM_17,2026-01-05 07:33:36.631268,2026-01-05 07:33:36.631268,0.0
