time,action,ticker,price,qty,fee,cost,source,order_id,order_time,fill_time,fill_delay_s,place_time
2025-12-06 13:00:05.804686,BUY_NO,KXHIGHNY-25DEC06-B41.5,3.0,2,0.01,0.06999999999999999,SIM,SIM_1,2025-12-06 13:00:05.804686,2025-12-06 13:00:05.804686,0.0,
2025-12-06 13:01:20.577718,BUY_NO,KXHIGHNY-25DEC06-B41.5,3.0,1,0.01,0.04,SIM,SIM_2,2025-12-06 13:01:20.577718,2025-12-06 13:01:20.577718,0.0,
2025-12-06 13:04:23.816090,BUY_NO,KXHIGHNY-25DEC06-B41.5,4.0,1,0.01,0.05,SIM,SIM_3,2025-12-06 13:04:23.816090,2025-12-06 13:04:23.816090,0.0,
2025-12-06 13:04:42.534964,BUY_NO,KXHIGHNY-25DEC06-B41.5,3.0,1,0.01,0.04,SIM,SIM_4,2025-12-06 13:04:42.534964,2025-12-06 13:04:42.534964,0.0,
2025-12-06 13:04:44.464560,BUY_NO,KXHIGHNY-25DEC06-B41.5,2.0,4,0.01,0.09,SIM,SIM_5,2025-12-06 13:04:44.464560,2025-12-06 13:04:44.464560,0.0,
2025-12-06 13:04:51.796493,BUY_NO,KXHIGHNY-25DEC06-B41.5,3.0,1,0.01,0.04,SIM,SIM_6,2025-12-06 13:04:51.796493,2025-12-06 13:04:51.796493,0.0,
2025-12-06 13:04:54.238539,BUY_NO,KXHIGHNY-25DEC06-B41.5,2.0,4,0.01,0.09,SIM,SIM_7,2025-12-06 13:04:54.238539,2025-12-06 13:04:54.238539,0.0,
2025-12-06 13:05:00.803632,BUY_NO,KXHIGHNY-25DEC06-B41.5,3.0,3,0.01,0.09999999999999999,SIM,SIM_8,2025-12-06 13:05:00.803632,2025-12-06 13:05:00.803632,0.0,
2025-12-06 13:05:22.222590,BUY_NO,KXHIGHNY-25DEC06-B41.5,2.0,3,0.01,0.06999999999999999,SIM,SIM_9,2025-12-06 13:05:22.222590,2025-12-06 13:05:22.222590,0.0,
2025-12-06 13:06:29.288160,BUY_NO,KXHIGHNY-25DEC06-B41.5,2.0,3,0.01,0.06999999999999999,SIM,SIM_10,2025-12-06 13:06:29.288160,2025-12-06 13:06:29.288160,0.0,
2025-12-06 13:07:51.799017,BUY_NO,KXHIGHNY-25DEC06-B41.5,3.0,1,0.01,0.04,SIM,SIM_11,2025-12-06 13:07:51.799017,2025-12-06 13:07:51.799017,0.0,
2025-12-06 13:08:17.356127,BUY_NO,KXHIGHNY-25DEC06-B41.5,3.0,2,0.01,0.06999999999999999,SIM,SIM_12,2025-12-06 13:08:17.356127,2025-12-06 13:08:17.356127,0.0,
2025-12-06 13:08:36.894932,BUY_NO,KXHIGHNY-25DEC06-B41.5,2.0,2,0.01,0.05,SIM,SIM_13,2025-12-06 13:08:36.894932,2025-12-06 13:08:36.894932,0.0,
2025-12-06 13:12:41.853640,BUY_NO,KXHIGHNY-25DEC06-B41.5,3.0,1,0.01,0.04,SIM,SIM_14,2025-12-06 13:12:41.853640,2025-12-06 13:12:41.853640,0.0,
